,Make,Model,Price (£),Mileage,Registration Year,Registration Month,Gearbox,Fuel Type,N of Owners
151,Hyundai,i10,9150,15601,2018,7,Manual,Petrol,2
152,Peugeot,108,9150,14294,2019,11,Manual,Petrol,1
153,Peugeot,308,9150,43177,2017,1,Manual,Petrol,3
154,Hyundai,i10,9150,12018,2017,3,Manual,Petrol,3
155,Kia,Ceed,9150,32725,2016,11,Manual,Diesel,4
156,Ford,Fiesta,9150,39520,2016,11,Manual,Petrol,3
157,Vauxhall,Astra,9200,81096,2018,5,Manual,Diesel,1
158,Vauxhall,Corsa,9200,41411,2017,7,Manual,Petrol,2
159,Citroen,C4 Cactus,9200,55094,2017,10,Manual,Diesel,2
160,Toyota,AYGO,9200,26922,2017,9,Manual,Petrol,2
161,Vauxhall,Astra,9200,49221,2016,10,Manual,Petrol,2
162,Renault,Captur,9200,43579,2016,7,Manual,Petrol,2
163,Peugeot,3008,9200,54402,2015,12,Manual,Petrol,2
164,Vauxhall,Corsa,9200,36022,2019,5,Manual,Petrol,2
165,Kia,Soul,9200,31876,2018,9,Manual,Petrol,1
166,Kia,Soul,9200,24012,2018,10,Manual,Petrol,1
167,Vauxhall,Insignia,9200,77220,2016,5,Manual,Diesel,3
168,Hyundai,i20,9200,25991,2015,11,Manual,Petrol,7
169,Renault,Captur,9250,56939,2016,10,Manual,Petrol,2
170,Vauxhall,Corsa,9250,27631,2018,3,Manual,Petrol,1
171,Vauxhall,ADAM,9250,31322,2016,3,Manual,Petrol,2
172,Peugeot,308,9250,59249,2016,10,Manual,Petrol,3
173,Peugeot,208,9250,20557,2017,3,Manual,Petrol,2
174,Fiat,500,9250,22847,2018,9,Manual,Petrol,3
175,Volkswagen,Polo,9250,55372,2015,11,Manual,Petrol,2
176,Vauxhall,Corsa,9250,25648,2017,9,Manual,Petrol,2
177,Vauxhall,Astra,9250,58220,2016,12,Manual,Petrol,2
178,Fiat,500,9300,37940,2018,3,Manual,Petrol,2
179,Ford,Focus,9300,86391,2017,3,Manual,Diesel,1
180,Vauxhall,Corsa,9300,35324,2018,1,Manual,Petrol,3
181,Suzuki,Celerio,9300,19210,2017,4,Automatic,Petrol,2
182,Volkswagen,Polo,9300,43647,2015,10,Manual,Petrol,3
183,Ford,Focus,9300,50265,2016,5,Manual,Petrol,3
184,Vauxhall,Corsa,9300,35395,2018,3,Manual,Petrol,2
185,Fiat,500,9300,23141,2018,10,Manual,Petrol,2
186,Kia,Soul,9300,27144,2018,9,Manual,Petrol,1
187,Fiat,500,9300,12354,2018,11,Manual,Petrol,3
188,Kia,Soul,9300,32910,2018,9,Manual,Petrol,1
189,Hyundai,i20,9350,50287,2018,2,Manual,Petrol,2
190,Smart,fortwo,9350,26024,2019,6,Manual,Petrol,4
191,Ford,Fiesta,9350,45045,2017,3,Manual,Petrol,1
192,Nissan,Note,9350,31230,2017,3,Manual,Diesel,2
193,Vauxhall,Viva,9350,10410,2019,4,Manual,Petrol,3
194,Ford,Fiesta,9350,59692,2018,5,Manual,Petrol,1
195,Skoda,Fabia,9350,37008,2018,1,Manual,Petrol,2
196,Vauxhall,Corsa,9350,25094,2019,1,Manual,Petrol,2
197,Volkswagen,up!,9350,16961,2017,3,Manual,Petrol,3
198,DS,DS 3,9400,26632,2017,3,Manual,Petrol,2
199,Renault,Scenic,9400,41432,2015,9,Automatic,Diesel,3
200,Ford,Fiesta,9400,28356,2016,6,Manual,Petrol,2
201,Vauxhall,Astra,9400,49267,2018,6,Manual,Petrol,2
202,Kia,Picanto,9400,32426,2019,5,Manual,Petrol,1
203,Vauxhall,Mokka X,9400,44208,2016,12,Manual,Petrol,3
204,Fiat,500,9400,11588,2018,3,Manual,Petrol,1
205,Fiat,500,9400,19245,2019,1,Manual,Petrol,2
206,Ford,Fiesta,9450,40438,2015,1,Manual,Petrol,3
207,Fiat,500,9450,36203,2018,8,Manual,Petrol,1
208,Smart,forfour,9450,8496,2018,9,Manual,Petrol,1
209,Renault,Clio,9450,29238,2016,3,Manual,Petrol,3
210,Toyota,AYGO,9450,27649,2018,3,Manual,Petrol,3
211,Vauxhall,Corsa,9450,28975,2017,9,Manual,Petrol,2
212,Ford,Fiesta,9450,24600,2016,9,Manual,Petrol,2
213,Fiat,500,9450,10337,2018,3,Manual,Petrol,2
214,Mini,Hatch,9450,33170,2016,11,Manual,Petrol,3
215,Vauxhall,Astra GTC,9500,38765,2015,10,Manual,Petrol,2
216,Volkswagen,Polo,9500,53025,2015,12,Manual,Petrol,2
217,Renault,Clio,9500,20294,2016,3,Manual,Petrol,2
218,Vauxhall,Corsa,9500,23878,2018,8,Manual,Petrol,1
219,Kia,ProCeed,9500,38015,2017,9,Manual,Diesel,2
220,Fiat,500,9500,30533,2019,6,Manual,Petrol,1
221,Vauxhall,Corsa,9500,26000,2018,12,Manual,Petrol,1
222,Ford,Fiesta,9500,31548,2016,11,Manual,Petrol,3
223,Fiat,500,9500,21934,2019,11,Manual,Petrol,3
224,Nissan,Pulsar,9550,39004,2016,9,Manual,Diesel,2
225,Fiat,500,9550,32082,2018,4,Manual,Petrol,3
226,Peugeot,3008,9550,54716,2016,9,Manual,Diesel,3
227,Volkswagen,up!,9550,41398,2018,12,Manual,Petrol,3
228,Volkswagen,Polo,9600,51752,2016,3,Manual,Petrol,2
